# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-20 03:30:40+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedTasks
Grid	Mean	Min	Max	StdDev
13 12 [25]	74.5	73.0	77.0	1.2692955176439846
13 13 [26]	150.5	150.0	152.0	0.7071067811865476
14 13 [27]	292.5	289.0	294.0	1.90029237516523
14 14 [28]	582.0	577.0	587.0	3.2998316455372216
15 14 [29]	1177.0	1172.0	1204.0	9.944289260117532
15 15 [30]	2349.0	2347.0	2353.0	2.0
12 7 6 [25]	103.0	101.0	104.0	0.8819171036881969
12 7 7 [26]	210.0	208.0	210.0	1.0540925533894598
13 7 7 [27]	421.0	418.0	422.0	1.4529663145135578
13 8 7 [28]	857.0	853.0	861.0	2.2852182001336816
14 8 7 [29]	1720.5	1714.0	1742.0	8.383184226639527
14 8 8 [30]	3462.0	3455.0	3475.0	6.306962642808167
11 6 4 4 [25]	114.0	113.0	115.0	0.816496580927726
11 7 4 4 [26]	235.0	232.0	239.0	1.7638342073763937
12 7 4 4 [27]	475.5	472.0	479.0	2.068278940998476
12 7 5 4 [28]	997.0	991.0	1005.0	4.14996653266291
13 7 5 4 [29]	2027.0	2026.0	2030.0	1.4529663145135578
13 8 5 4 [30]	4115.5	4106.0	4124.0	5.317685377847939
10 6 4 3 2 [25]	94.0	93.0	96.0	1.0540925533894598
10 6 4 3 3 [26]	226.0	224.0	230.0	2.1343747458109497
11 6 4 3 3 [27]	456.5	455.0	461.0	2.223610677354389
11 7 4 3 3 [28]	921.5	920.0	924.0	1.6499158227686108
12 7 4 3 3 [29]	1881.5	1879.0	1886.0	2.068278940998476
12 7 5 3 3 [30]	3929.5	3925.0	3931.0	2.273030282830976
