# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 21:46:23+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedTasks
Grid	Mean	Min	Max	StdDev
12 12 [24]	38.0	37.0	39.0	0.816496580927726
13 13 [26]	150.0	148.0	151.0	0.9428090415820634
13 13 [26]	150.5	148.0	151.0	0.97182531580755
14 14 [28]	578.5	576.0	582.0	2.1213203435596424
14 14 [28]	577.5	576.0	582.0	1.9578900207451218
15 15 [30]	2350.5	2346.0	2361.0	4.503085362035432
8 8 8 [24]	50.0	49.0	51.0	0.816496580927726
8 8 8 [24]	51.0	49.0	52.0	1.1547005383792515
9 9 9 [27]	406.5	403.0	408.0	1.6499158227686108
9 9 9 [27]	407.0	404.0	410.0	1.9436506316151
9 9 9 [27]	406.0	404.0	409.0	1.7320508075688772
10 10 10 [30]	3456.5	3438.0	3459.0	6.980130530457308
6 6 6 6 [24]	61.5	61.0	63.0	0.7071067811865476
6 6 6 6 [24]	61.0	60.0	64.0	1.4529663145135578
6 6 6 6 [24]	61.0	61.0	62.0	0.6666666666666666
7 7 7 7 [28]	1033.5	1031.0	1041.0	4.352521619066865
7 7 7 7 [28]	1036.0	1034.0	1055.0	6.599663291074443
7 7 7 7 [28]	1035.5	1029.0	1043.0	4.552166761249221
5 5 5 5 5 [25]	137.0	137.0	141.0	1.4529663145135578
5 5 5 5 5 [25]	138.0	137.0	139.0	0.6666666666666666
5 5 5 5 5 [25]	138.0	137.0	139.0	0.7453559924999299
5 5 5 5 5 [25]	138.0	138.0	140.0	0.816496580927726
5 5 5 5 5 [25]	138.0	137.0	139.0	0.816496580927726
6 6 6 6 6 [30]	4847.5	4838.0	4912.0	22.167293224227645
