# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-20 02:26:49+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreads
Grid	Mean	Min	Max	StdDev
13 12 [25]	74.0	73.0	79.0	1.7638342073763937
13 13 [26]	151.0	146.0	153.0	2.309401076758503
14 13 [27]	293.5	289.0	297.0	3.064129385141706
14 14 [28]	582.5	578.0	591.0	3.8369548110737792
15 14 [29]	1178.0	1175.0	1188.0	4.163331998932265
15 15 [30]	2350.5	2347.0	2429.0	26.42915057280502
12 7 6 [25]	103.0	103.0	105.0	0.8819171036881969
12 7 7 [26]	211.0	209.0	215.0	1.9148542155126762
13 7 7 [27]	423.0	420.0	427.0	2.516611478423583
13 8 7 [28]	861.0	855.0	864.0	3.4318767136623336
14 8 7 [29]	1723.5	1720.0	1733.0	3.9510898637098992
14 8 8 [30]	3466.5	3461.0	3481.0	5.720334100576838
11 6 4 4 [25]	115.0	115.0	116.0	0.5773502691896257
11 7 4 4 [26]	236.5	233.0	238.0	1.509230856356236
12 7 4 4 [27]	477.5	474.0	487.0	3.5978388574871505
12 7 5 4 [28]	996.0	993.0	998.0	1.5634719199411433
13 7 5 4 [29]	2037.0	2028.0	2055.0	8.806563209081938
13 8 5 4 [30]	4126.5	4122.0	4143.0	7.677528537520681
10 6 4 3 2 [25]	95.5	94.0	97.0	1.1785113019775793
10 6 4 3 3 [26]	227.0	225.0	229.0	1.3333333333333333
11 6 4 3 3 [27]	459.5	456.0	464.0	2.6770630673681683
11 7 4 3 3 [28]	928.5	924.0	938.0	4.1163630117428225
12 7 4 3 3 [29]	1884.5	1879.0	1898.0	5.060742150229659
12 7 5 3 3 [30]	3933.0	3926.0	3952.0	7.986099033807293
