# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 21:00:14+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreads
Grid	Mean	Min	Max	StdDev
12 12 [24]	38.0	37.0	39.0	0.816496580927726
13 13 [26]	150.0	147.0	153.0	1.5634719199411433
13 13 [26]	150.5	147.0	152.0	1.5811388300841898
14 14 [28]	582.0	577.0	584.0	3.3333333333333335
14 14 [28]	580.5	577.0	587.0	3.689323936863109
15 15 [30]	2348.5	2343.0	2381.0	11.673807338558307
8 8 8 [24]	51.0	49.0	53.0	1.1055415967851334
8 8 8 [24]	50.5	49.0	53.0	1.0801234497346435
9 9 9 [27]	407.0	404.0	411.0	2.4267032964268394
9 9 9 [27]	409.0	404.0	413.0	3.0
9 9 9 [27]	407.5	404.0	414.0	2.798809270624444
10 10 10 [30]	3455.0	3447.0	3466.0	5.57773351022717
6 6 6 6 [24]	62.0	61.0	65.0	1.1547005383792515
6 6 6 6 [24]	62.0	61.0	63.0	0.6666666666666666
6 6 6 6 [24]	62.0	62.0	65.0	1.4142135623730951
7 7 7 7 [28]	1037.0	1031.0	1041.0	3.929942040850532
7 7 7 7 [28]	1034.0	1029.0	1046.0	5.715476066494082
7 7 7 7 [28]	1036.5	1034.0	1084.0	16.372402253657082
5 5 5 5 5 [25]	140.0	139.0	140.0	0.6666666666666666
5 5 5 5 5 [25]	140.0	139.0	142.0	1.0540925533894598
5 5 5 5 5 [25]	139.0	139.0	140.0	0.6666666666666666
5 5 5 5 5 [25]	139.5	138.0	142.0	1.1785113019775793
5 5 5 5 5 [25]	140.0	138.0	141.0	1.0
6 6 6 6 6 [30]	4842.0	4836.0	4851.0	4.69041575982343
