# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-20 02:58:47+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreadsOnce
Grid	Mean	Min	Max	StdDev
13 12 [25]	74.5	73.0	79.0	2.173067468400883
13 13 [26]	151.0	149.0	154.0	1.4907119849998598
14 13 [27]	293.5	290.0	298.0	2.5055493963954847
14 14 [28]	579.5	578.0	583.0	2.068278940998476
15 14 [29]	1178.5	1173.0	1186.0	3.689323936863109
15 15 [30]	2353.0	2348.0	2407.0	18.40289832245635
12 7 6 [25]	102.5	101.0	104.0	0.8498365855987975
12 7 7 [26]	210.0	209.0	212.0	1.1547005383792515
13 7 7 [27]	423.0	419.0	426.0	1.7320508075688772
13 8 7 [28]	856.0	853.0	906.0	16.73320053068151
14 8 7 [29]	1719.5	1717.0	1727.0	3.8944404818493075
14 8 8 [30]	3467.5	3461.0	3474.0	4.994441354590566
11 6 4 4 [25]	114.0	113.0	116.0	0.9428090415820634
11 7 4 4 [26]	234.0	232.0	237.0	1.855921454276674
12 7 4 4 [27]	476.0	472.0	479.0	2.2852182001336816
12 7 5 4 [28]	996.0	993.0	1006.0	3.681787005729087
13 7 5 4 [29]	2032.5	2025.0	2047.0	6.328945848682508
13 8 5 4 [30]	4127.5	4117.0	4140.0	7.763876465901411
10 6 4 3 2 [25]	93.0	92.0	94.0	0.816496580927726
10 6 4 3 3 [26]	225.0	223.0	228.0	1.4907119849998598
11 6 4 3 3 [27]	457.0	455.0	461.0	1.8856180831641267
11 7 4 3 3 [28]	926.5	924.0	930.0	2.3213980461973533
12 7 4 3 3 [29]	1881.5	1877.0	1885.0	2.592724864350674
12 7 5 3 3 [30]	3920.0	3915.0	3927.0	3.80058475033046
