# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 21:23:23+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreadsOnce
Grid	Mean	Min	Max	StdDev
12 12 [24]	37.0	36.0	39.0	0.816496580927726
13 13 [26]	151.0	147.0	155.0	2.0816659994661326
13 13 [26]	150.0	149.0	153.0	1.3333333333333333
14 14 [28]	579.0	576.0	588.0	3.7712361663282534
14 14 [28]	582.0	576.0	603.0	7.951240294584375
15 15 [30]	2351.0	2348.0	2356.0	2.70801280154532
8 8 8 [24]	49.0	49.0	50.0	0.3333333333333333
8 8 8 [24]	49.5	49.0	51.0	0.8498365855987975
9 9 9 [27]	406.0	402.0	407.0	1.8856180831641267
9 9 9 [27]	407.0	404.0	410.0	1.7950549357115013
9 9 9 [27]	408.0	407.0	411.0	1.247219128924647
10 10 10 [30]	3458.0	3452.0	3463.0	3.696845502136472
6 6 6 6 [24]	61.0	60.0	62.0	0.6666666666666666
6 6 6 6 [24]	61.0	60.0	61.0	0.5773502691896257
6 6 6 6 [24]	61.0	60.0	62.0	0.7453559924999299
7 7 7 7 [28]	1037.0	1031.0	1038.0	2.6874192494328497
7 7 7 7 [28]	1034.5	1031.0	1043.0	3.6285901761795403
7 7 7 7 [28]	1031.0	1028.0	1044.0	4.853406592853679
5 5 5 5 5 [25]	137.5	136.0	138.0	0.7071067811865476
5 5 5 5 5 [25]	137.0	137.0	139.0	0.8819171036881969
5 5 5 5 5 [25]	137.0	136.0	140.0	1.2018504251546631
5 5 5 5 5 [25]	137.5	136.0	141.0	1.4337208778404378
5 5 5 5 5 [25]	138.0	137.0	139.0	0.6666666666666666
6 6 6 6 6 [30]	4844.0	4840.0	4864.0	9.195409482755814
