# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-28 00:00:24+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeRecursiveThread
Grid	Mean	Min	Max	StdDev
13 12 [25]	1381.0	1380.0	1386.0	2.494438257849294
13 13 [26]	2890.0	2885.0	2900.0	5.972157622389639
14 13 [27]	5675.5	5669.0	5689.0	8.436033823229176
14 14 [28]	11547.5	11532.0	11563.0	9.958246164193104
15 14 [29]	23230.5	23197.0	23242.0	15.508062419270823
15 15 [30]	47091.5	46845.0	47403.0	258.13271780229644
12 7 6 [25]	2755.5	2750.0	2764.0	5.602578771323871
12 7 7 [26]	5451.0	5438.0	5463.0	9.735387911006821
13 7 7 [27]	10961.5	10948.0	10972.0	7.5901983578238
13 8 7 [28]	22029.5	22012.0	22052.0	11.778039829369837
14 8 7 [29]	45673.0	45656.0	45737.0	25.25206262202489
14 8 8 [30]	92385.5	92344.0	92459.0	34.84011098336705
11 6 4 4 [25]	3500.5	3491.0	3511.0	7.199537022151725
11 7 4 4 [26]	7092.5	7085.0	7117.0	10.91634859587521
12 7 4 4 [27]	15118.5	15077.0	15141.0	24.735264973986702
12 7 5 4 [28]	31929.5	31907.0	31978.0	28.308812919105048
13 7 5 4 [29]	66507.0	66455.0	66664.0	66.01346663960148
13 8 5 4 [30]	132861.0	132802.0	133147.0	103.8438999438848
10 6 4 3 2 [25]	2955.5	2947.0	2959.0	4.32691832858239
10 6 4 3 3 [26]	7702.5	7686.0	7712.0	10.091250335480401
11 6 4 3 3 [27]	16416.0	16378.0	16451.0	28.821288428289716
11 7 4 3 3 [28]	33036.5	33009.0	33059.0	18.446619684315547
12 7 4 3 3 [29]	70367.0	70257.0	70446.0	63.39645976796426
12 7 5 3 3 [30]	152325.5	151911.0	152552.0	241.4209095243317
