# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-27 22:23:17+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeRecursiveThread
Grid	Mean	Min	Max	StdDev
12 12 [24]	696.5	695.0	698.0	1.0801234497346435
13 13 [26]	2877.0	2871.0	2887.0	5.666666666666667
13 13 [26]	2869.0	2862.0	2875.0	3.929942040850532
14 14 [28]	11603.5	11580.0	11625.0	12.267844146385297
14 14 [28]	11606.0	11588.0	11621.0	10.708252269472673
15 15 [30]	47338.5	47300.0	47360.0	19.90672694788819
8 8 8 [24]	1187.5	1186.0	1190.0	1.1785113019775793
8 8 8 [24]	1192.5	1191.0	1194.0	0.97182531580755
9 9 9 [27]	10210.5	10199.0	10218.0	6.258327785172862
9 9 9 [27]	10183.5	10178.0	10201.0	9.98053661438658
9 9 9 [27]	10218.0	10212.0	10231.0	6.523461930260309
10 10 10 [30]	84074.5	84010.0	84102.0	31.245444112346647
6 6 6 6 [24]	1687.0	1683.0	1691.0	2.8284271247461903
6 6 6 6 [24]	1703.0	1695.0	1707.0	4.876246279442598
6 6 6 6 [24]	1714.0	1708.0	1721.0	4.58257569495584
7 7 7 7 [28]	28651.0	28635.0	28679.0	16.50925666271972
7 7 7 7 [28]	28576.5	28539.0	28585.0	16.43336713992466
7 7 7 7 [28]	28648.0	28623.0	28676.0	17.013066873566462
5 5 5 5 5 [25]	3799.5	3795.0	3803.0	2.6770630673681683
5 5 5 5 5 [25]	3905.0	3904.0	3912.0	3.4318767136623336
5 5 5 5 5 [25]	3931.5	3926.0	3940.0	4.743416490252569
5 5 5 5 5 [25]	3913.0	3908.0	3920.0	3.2317865716108862
5 5 5 5 5 [25]	3803.5	3798.0	3810.0	4.034572812303401
6 6 6 6 6 [30]	152027.0	151935.0	152201.0	79.33613440433194
