# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-20 01:30:39+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreads
Grid	Mean	Min	Max	StdDev
13 12 [25]	70.5	69.0	78.0	2.6770630673681683
13 13 [26]	146.0	143.0	148.0	1.4907119849998598
14 13 [27]	277.0	275.0	282.0	2.8284271247461903
14 14 [28]	559.0	553.0	566.0	4.041451884327381
15 14 [29]	1115.5	1111.0	1142.0	9.419247433963195
15 15 [30]	2231.0	2226.0	2241.0	4.666666666666667
12 7 6 [25]	97.5	96.0	98.0	0.7071067811865476
12 7 7 [26]	198.5	197.0	200.0	1.1785113019775793
13 7 7 [27]	401.0	397.0	405.0	3.018461712712472
13 8 7 [28]	815.0	812.0	818.0	2.1081851067789197
14 8 7 [29]	1641.0	1633.0	1648.0	5.5377492419453835
14 8 8 [30]	3289.5	3285.0	3302.0	5.854722690083432
11 6 4 4 [25]	110.0	109.0	112.0	0.7453559924999299
11 7 4 4 [26]	226.5	225.0	229.0	1.2692955176439846
12 7 4 4 [27]	460.0	455.0	462.0	2.4037008503093262
12 7 5 4 [28]	955.5	952.0	963.0	3.3082388735465345
13 7 5 4 [29]	1950.0	1945.0	1955.0	3.4318767136623336
13 8 5 4 [30]	3960.5	3955.0	3972.0	6.1869037310901955
10 6 4 3 2 [25]	89.5	89.0	91.0	0.97182531580755
10 6 4 3 3 [26]	214.0	212.0	218.0	1.7320508075688772
11 6 4 3 3 [27]	433.5	428.0	436.0	2.9154759474226504
11 7 4 3 3 [28]	875.0	873.0	883.0	4.109609335312651
12 7 4 3 3 [29]	1789.5	1786.0	1796.0	3.2058973436118907
12 7 5 3 3 [30]	3735.5	3728.0	3757.0	8.3166499665831
