# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 20:19:25+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreads
Grid	Mean	Min	Max	StdDev
12 12 [24]	36.0	36.0	39.0	1.5986105077709065
13 13 [26]	146.0	144.0	149.0	1.4142135623730951
13 13 [26]	146.0	144.0	149.0	2.0548046676563256
14 14 [28]	558.5	556.0	570.0	5.359311730271176
14 14 [28]	559.0	555.0	573.0	5.754225500544023
15 15 [30]	2233.0	2226.0	2243.0	6.0553007081949835
8 8 8 [24]	47.0	47.0	48.0	0.6666666666666666
8 8 8 [24]	48.0	47.0	51.0	1.3743685418725535
9 9 9 [27]	381.5	378.0	386.0	2.9154759474226504
9 9 9 [27]	381.0	378.0	385.0	2.0816659994661326
9 9 9 [27]	381.0	378.0	384.0	2.494438257849294
10 10 10 [30]	3261.5	3256.0	3269.0	4.881939505292269
6 6 6 6 [24]	59.0	58.0	61.0	0.9428090415820634
6 6 6 6 [24]	59.0	57.0	62.0	1.3743685418725535
6 6 6 6 [24]	60.0	58.0	62.0	1.4907119849998598
7 7 7 7 [28]	1002.5	994.0	1017.0	6.467869303977419
7 7 7 7 [28]	998.5	992.0	1001.0	2.758824226207808
7 7 7 7 [28]	1000.0	993.0	1006.0	4.123105625617661
5 5 5 5 5 [25]	131.0	130.0	134.0	1.1547005383792515
5 5 5 5 5 [25]	132.0	130.0	133.0	1.0540925533894598
5 5 5 5 5 [25]	131.0	130.0	133.0	1.0540925533894598
5 5 5 5 5 [25]	131.0	130.0	133.0	1.247219128924647
5 5 5 5 5 [25]	132.0	130.0	133.0	1.0
6 6 6 6 6 [30]	4654.5	4649.0	4664.0	4.527692569068709
