# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-20 01:58:43+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreadsNoUnroll
Grid	Mean	Min	Max	StdDev
13 12 [25]	71.0	69.0	71.0	0.816496580927726
13 13 [26]	143.5	139.0	148.0	2.9907264074877267
14 13 [27]	281.0	275.0	283.0	2.6246692913372702
14 14 [28]	558.0	552.0	561.0	3.3829638550307397
15 14 [29]	1115.5	1111.0	1124.0	4.696334267868457
15 15 [30]	2224.0	2218.0	2236.0	6.27162924074226
12 7 6 [25]	98.0	96.0	99.0	1.0540925533894598
12 7 7 [26]	201.0	195.0	212.0	4.630814663149935
13 7 7 [27]	400.0	398.0	405.0	2.5385910352879693
13 8 7 [28]	815.0	811.0	830.0	6.1553951042064625
14 8 7 [29]	1641.0	1633.0	1655.0	6.324555320336759
14 8 8 [30]	3292.5	3287.0	3300.0	4.453463071962462
11 6 4 4 [25]	110.5	109.0	112.0	0.97182531580755
11 7 4 4 [26]	226.0	225.0	232.0	2.211083193570267
12 7 4 4 [27]	460.0	457.0	466.0	2.494438257849294
12 7 5 4 [28]	957.5	954.0	960.0	1.90029237516523
13 7 5 4 [29]	1957.0	1949.0	2105.0	50.075498555237125
13 8 5 4 [30]	3969.5	3966.0	3986.0	7.153087911291645
10 6 4 3 2 [25]	90.0	89.0	92.0	1.0540925533894598
10 6 4 3 3 [26]	213.0	212.0	215.0	1.1547005383792515
11 6 4 3 3 [27]	434.0	430.0	437.0	2.3570226039551585
11 7 4 3 3 [28]	875.5	874.0	881.0	2.173067468400883
12 7 4 3 3 [29]	1791.0	1787.0	1794.0	2.581988897471611
12 7 5 3 3 [30]	3729.0	3727.0	3740.0	4.876246279442598
