# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 20:39:48+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeOptimizedThreadsNoUnroll
Grid	Mean	Min	Max	StdDev
12 12 [24]	36.0	35.0	37.0	0.6666666666666666
13 13 [26]	145.5	140.0	151.0	2.798809270624444
13 13 [26]	144.5	142.0	150.0	2.718251071716682
14 14 [28]	554.5	551.0	560.0	3.3082388735465345
14 14 [28]	555.0	551.0	560.0	2.748737083745107
15 15 [30]	2225.5	2217.0	2230.0	4.766783215358364
8 8 8 [24]	47.0	47.0	49.0	0.8819171036881969
8 8 8 [24]	48.0	47.0	49.0	0.7453559924999299
9 9 9 [27]	380.5	379.0	385.0	2.4608038433722332
9 9 9 [27]	382.0	379.0	385.0	2.2852182001336816
9 9 9 [27]	382.0	378.0	387.0	2.7284509239574835
10 10 10 [30]	3258.0	3251.0	3277.0	9.568466729604882
6 6 6 6 [24]	59.0	58.0	60.0	0.5773502691896257
6 6 6 6 [24]	59.0	58.0	60.0	0.816496580927726
6 6 6 6 [24]	60.0	58.0	61.0	1.0540925533894598
7 7 7 7 [28]	998.0	993.0	1009.0	4.618802153517006
7 7 7 7 [28]	999.0	994.0	1014.0	5.57773351022717
7 7 7 7 [28]	999.0	995.0	1001.0	2.5385910352879693
5 5 5 5 5 [25]	132.0	130.0	134.0	1.4142135623730951
5 5 5 5 5 [25]	131.5	129.0	133.0	1.1785113019775793
5 5 5 5 5 [25]	131.5	130.0	134.0	1.0801234497346435
5 5 5 5 5 [25]	131.5	131.0	134.0	0.97182531580755
5 5 5 5 5 [25]	132.0	130.0	134.0	1.2909944487358056
6 6 6 6 6 [30]	4665.0	4657.0	4681.0	7.738791177495933
