# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-20 00:53:59+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedTasks
Grid	Mean	Min	Max	StdDev
13 12 [25]	256.0	255.0	258.0	1.0
13 13 [26]	535.0	524.0	541.0	6.3508529610858835
14 13 [27]	1187.0	1173.0	1203.0	11.110555541665972
14 14 [28]	2952.5	2913.0	3044.0	43.1592657748278
15 14 [29]	8495.0	8370.0	8696.0	115.09319894956629
15 15 [30]	25345.5	25083.0	25615.0	167.5146759739775
12 7 6 [25]	195.5	188.0	203.0	5.778311941119905
12 7 7 [26]	421.0	412.0	429.0	5.312459150169742
13 7 7 [27]	842.5	819.0	863.0	14.447221955179558
13 8 7 [28]	1826.5	1806.0	1857.0	16.761397449032835
14 8 7 [29]	3966.0	3938.0	4003.0	19.8270298106174
14 8 8 [30]	8032.5	8007.0	8091.0	30.627692625393045
11 6 4 4 [25]	134.0	133.0	148.0	6.036923425424944
11 7 4 4 [26]	279.5	269.0	289.0	6.114645442614713
12 7 4 4 [27]	728.5	703.0	895.0	60.48553546096785
12 7 5 4 [28]	1503.5	1489.0	1528.0	11.306340404097753
13 7 5 4 [29]	3077.5	3069.0	3115.0	18.25893997166563
13 8 5 4 [30]	6669.0	6627.0	6696.0	23.758039574940614
10 6 4 3 2 [25]	110.0	108.0	117.0	3.972125095937662
10 6 4 3 3 [26]	262.0	252.0	269.0	5.426273532033235
11 6 4 3 3 [27]	526.5	511.0	533.0	7.412451985979028
11 7 4 3 3 [28]	1049.5	1031.0	1066.0	13.201430898875234
12 7 4 3 3 [29]	2650.0	2609.0	2677.0	26.898988002442685
12 7 5 3 3 [30]	5474.5	5444.0	5507.0	24.717290394467685
