# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 19:51:45+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedTasks
Grid	Mean	Min	Max	StdDev
12 12 [24]	115.0	113.0	122.0	3.5276684147527875
13 13 [26]	530.5	524.0	543.0	6.096447052723961
13 13 [26]	533.0	520.0	557.0	11.220021786471223
14 14 [28]	2967.5	2923.0	3097.0	53.498182731337295
14 14 [28]	2955.0	2903.0	3015.0	40.09710435652153
15 15 [30]	25354.0	25017.0	25660.0	176.86561125454674
8 8 8 [24]	78.0	76.0	86.0	4.242640687119285
8 8 8 [24]	77.5	75.0	87.0	5.082650227325635
9 9 9 [27]	938.0	914.0	967.0	16.1245154965971
9 9 9 [27]	941.0	912.0	965.0	16.76968163747369
9 9 9 [27]	944.0	935.0	960.0	8.856886837057615
10 10 10 [30]	11500.0	11465.0	11556.0	32.159325587179566
6 6 6 6 [24]	84.5	83.0	95.0	4.552166761249221
6 6 6 6 [24]	85.0	83.0	90.0	2.3804761428476167
6 6 6 6 [24]	85.0	83.0	93.0	4.136557881996952
7 7 7 7 [28]	1471.5	1456.0	1489.0	10.49073665457081
7 7 7 7 [28]	1451.0	1421.0	1466.0	13.872434697789874
7 7 7 7 [28]	1462.5	1449.0	1490.0	11.872002545672085
5 5 5 5 5 [25]	153.0	142.0	163.0	5.897268670984711
5 5 5 5 5 [25]	157.5	150.0	163.0	4.766783215358364
5 5 5 5 5 [25]	155.0	152.0	163.0	3.5118845842842465
5 5 5 5 5 [25]	155.0	150.0	169.0	5.656854249492381
5 5 5 5 5 [25]	157.0	152.0	170.0	5.228129047119374
6 6 6 6 6 [30]	7023.0	6989.0	8121.0	366.6772725738837
