# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 23:40:51+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedThreads
Grid	Mean	Min	Max	StdDev
13 12 [25]	257.0	254.0	298.0	13.880441875771343
13 13 [26]	522.0	517.0	525.0	2.494438257849294
14 13 [27]	1181.0	1175.0	1208.0	9.780933834080807
14 14 [28]	2966.5	2935.0	3000.0	25.11860753394671
15 14 [29]	8501.0	8434.0	8673.0	88.15075470780472
15 15 [30]	25437.5	25396.0	25511.0	33.771289581536564
12 7 6 [25]	199.5	194.0	220.0	9.070709882791851
12 7 7 [26]	399.5	394.0	421.0	8.383184226639527
13 7 7 [27]	821.0	812.0	833.0	6.3595946761129705
13 8 7 [28]	1788.0	1780.0	1821.0	16.302692347516643
14 8 7 [29]	3938.0	3918.0	3997.0	24.644133852366032
14 8 8 [30]	7987.5	7972.0	8016.0	14.183323540928855
11 6 4 4 [25]	146.5	140.0	149.0	2.798809270624444
11 7 4 4 [26]	278.0	270.0	286.0	4.725815626252608
12 7 4 4 [27]	710.0	700.0	754.0	20.445048300260872
12 7 5 4 [28]	1456.5	1453.0	1474.0	9.131751687868483
13 7 5 4 [29]	3054.5	3040.0	3111.0	21.104238647458686
13 8 5 4 [30]	6615.5	6594.0	6774.0	57.5697644408745
10 6 4 3 2 [25]	119.5	110.0	124.0	4.790035954399971
10 6 4 3 3 [26]	269.0	257.0	284.0	8.875684637129565
11 6 4 3 3 [27]	525.0	507.0	537.0	8.724168218868268
11 7 4 3 3 [28]	1024.0	1014.0	1060.0	13.900439641328695
12 7 4 3 3 [29]	2586.5	2574.0	2639.0	22.564721728101738
12 7 5 3 3 [30]	5383.5	5372.0	6494.0	370.28284984439784
