# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 18:56:35+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedThreads
Grid	Mean	Min	Max	StdDev
12 12 [24]	114.0	113.0	124.0	3.5901098714230026
13 13 [26]	525.5	521.0	553.0	14.017845768876187
13 13 [26]	522.0	519.0	532.0	3.6209268304000717
14 14 [28]	2955.5	2893.0	3098.0	66.95313452126213
14 14 [28]	2982.0	2950.0	3057.0	34.70350606687072
15 15 [30]	25477.5	25390.0	25791.0	161.89245401397395
8 8 8 [24]	82.5	75.0	86.0	3.865804501581067
8 8 8 [24]	84.0	81.0	89.0	2.6034165586355513
9 9 9 [27]	922.5	911.0	954.0	13.435028842544403
9 9 9 [27]	920.0	912.0	938.0	10.418999738725189
9 9 9 [27]	917.0	912.0	965.0	18.544241394268166
10 10 10 [30]	11410.5	11397.0	11450.0	21.54710601862296
6 6 6 6 [24]	90.5	85.0	100.0	5.522680508593631
6 6 6 6 [24]	91.0	87.0	104.0	4.864839839775475
6 6 6 6 [24]	89.0	87.0	97.0	3.844187531556932
7 7 7 7 [28]	1437.5	1429.0	1463.0	10.865337342004414
7 7 7 7 [28]	1433.0	1429.0	1694.0	89.41352122457641
7 7 7 7 [28]	1433.0	1425.0	1467.0	13.220354676701294
5 5 5 5 5 [25]	160.0	158.0	184.0	8.266397845091497
5 5 5 5 5 [25]	161.5	159.0	168.0	3.064129385141706
5 5 5 5 5 [25]	162.5	159.0	167.0	2.592724864350674
5 5 5 5 5 [25]	163.5	159.0	169.0	3.5978388574871505
5 5 5 5 5 [25]	165.5	160.0	173.0	3.7785946829182113
6 6 6 6 6 [30]	6976.5	6964.0	7034.0	32.11870344691876
