# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-20 00:17:39+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedThreadsOnce
Grid	Mean	Min	Max	StdDev
13 12 [25]	259.5	254.0	271.0	5.104464277037851
13 13 [26]	526.0	520.0	540.0	5.686240703077327
14 13 [27]	1176.5	1172.0	1243.0	22.35695268441863
14 14 [28]	2953.0	2909.0	3043.0	43.79878232706171
15 14 [29]	8492.5	8329.0	8743.0	146.7297212943278
15 15 [30]	25423.0	25018.0	25470.0	154.24511517566953
12 7 6 [25]	190.5	186.0	201.0	5.1478150704935
12 7 7 [26]	399.5	396.0	412.0	6.416125518306719
13 7 7 [27]	823.5	817.0	836.0	6.132789830991366
13 8 7 [28]	1784.5	1777.0	1832.0	18.136825644098927
14 8 7 [29]	3935.0	3919.0	3947.0	9.510228411791404
14 8 8 [30]	7979.0	7969.0	8003.0	10.923979738782625
11 6 4 4 [25]	139.0	132.0	144.0	4.123105625617661
11 7 4 4 [26]	272.5	267.0	275.0	2.6352313834736494
12 7 4 4 [27]	707.5	701.0	734.0	9.47804480540862
12 7 5 4 [28]	1473.5	1467.0	1490.0	7.677528537520681
13 7 5 4 [29]	3056.0	3044.0	3091.0	15.383974345619102
13 8 5 4 [30]	6615.0	6597.0	6635.0	12.467736139510029
10 6 4 3 2 [25]	109.5	107.0	117.0	3.5978388574871505
10 6 4 3 3 [26]	256.0	253.0	268.0	5.5377492419453835
11 6 4 3 3 [27]	512.5	506.0	517.0	3.92286743197994
11 7 4 3 3 [28]	1026.0	1014.0	1050.0	10.055402085998905
12 7 4 3 3 [29]	2583.5	2568.0	2613.0	13.218253372598902
12 7 5 3 3 [30]	5368.0	5349.0	5414.0	17.826322609494582
