# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-19 19:24:32+0200
# VM Arguments: -XX:CompileThreshold=100 -Xms15000M 

HierarchizeUnoptimizedThreadsOnce
Grid	Mean	Min	Max	StdDev
12 12 [24]	117.0	112.0	119.0	3.1269438398822866
13 13 [26]	523.0	520.0	527.0	2.3333333333333335
13 13 [26]	528.0	519.0	537.0	5.163977794943222
14 14 [28]	2967.5	2875.0	3037.0	48.90637313616021
14 14 [28]	2968.0	2908.0	3060.0	46.86979600742655
15 15 [30]	25388.5	25150.0	25491.0	112.7477518869248
8 8 8 [24]	79.0	74.0	82.0	2.848001248439177
8 8 8 [24]	79.5	74.0	85.0	3.689323936863109
9 9 9 [27]	918.0	913.0	930.0	5.5377492419453835
9 9 9 [27]	920.0	914.0	935.0	6.691619966628243
9 9 9 [27]	919.5	912.0	940.0	8.972179222463181
10 10 10 [30]	11406.0	11398.0	11467.0	23.640830968662858
6 6 6 6 [24]	83.0	82.0	87.0	1.5275252316519468
6 6 6 6 [24]	83.5	82.0	93.0	3.8369548110737792
6 6 6 6 [24]	85.5	82.0	89.0	2.798809270624444
7 7 7 7 [28]	1431.0	1421.0	1444.0	6.708203932499369
7 7 7 7 [28]	1437.5	1421.0	1474.0	15.806116959371563
7 7 7 7 [28]	1434.5	1424.0	1448.0	8.409650541028576
5 5 5 5 5 [25]	156.5	153.0	167.0	4.503085362035432
5 5 5 5 5 [25]	157.0	155.0	164.0	2.748737083745107
5 5 5 5 5 [25]	159.0	156.0	165.0	2.848001248439177
5 5 5 5 5 [25]	156.5	155.0	170.0	5.6421036266035856
5 5 5 5 5 [25]	160.0	154.0	163.0	3.8297084310253524
6 6 6 6 6 [30]	6979.5	6952.0	7156.0	60.16505076315762
