# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 13353 MB
# Date: 2015-05-26 16:25:00+0200
# VM Arguments: -Xmx14999M 

ScalaPoleBlockParArrayVaryingSize
Grid	Median	Min	Max	StdDev
11 11 [22]	294	293	296	1.0540925533894598
12 11 [23]	605	604	610	2.309401076758503
12 12 [24]	1287	1275	1298	8.439325934114775
13 12 [25]	3287	3253	3342	27.485349632930713
13 13 [26]	7124	6748	7907	346.85427615770993
14 13 [27]	47997	47844	48354	168.2514652404417
10 6 6 [22]	355	354	356	0.6666666666666666
11 6 6 [23]	722	718	749	9.225568335398698
11 7 6 [24]	1496	1489	1858	160.55217220579732
12 7 6 [25]	3451	3379	3495	39.0995879489513
12 7 7 [26]	18357	9408	18570	4282.878886398208
13 7 7 [27]	66933	66003	67534	571.7554838681771
9 6 4 3 [22]	404	403	406	1.0
10 6 4 3 [23]	862	860	864	1.5275252316519468
10 6 4 4 [24]	2038	1933	2084	53.69150563895352
11 6 4 4 [25]	4465	3915	4524	291.55254910374026
11 7 4 4 [26]	18925	10372	19010	3420.105618901914
12 7 4 4 [27]	70082	69307	70829	489.2498793504649
8 5 4 3 2 [22]	382	381	384	1.2909944487358056
9 5 4 3 2 [23]	782	779	790	3.415650255319866
9 6 4 3 2 [24]	1617	1555	1774	65.56082841317841
10 6 4 3 2 [25]	3345	3219	3370	56.055528025541086
10 6 4 3 3 [26]	16832	8834	16891	3301.0225351817544
11 6 4 3 3 [27]	62272	61886	62804	296.0255244250251
