# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 13993 MB
# Date: 2015-05-26 12:53:38+0200
# VM Arguments: -Xmx14999M 

ScalaPoleBlockParArrayVaryingSize
Grid	Median	Min	Max	StdDev
11 11 [22]	293	292	296	1.8257418583505538
11 11 [22]	294	292	295	1.2018504251546631
12 12 [24]	1285	1267	1293	7.371114795831994
12 12 [24]	1281	1267	1288	8.31330927555995
13 13 [26]	7151	6692	8430	507.8568258432248
13 13 [26]	7130	7099	7169	28.709270666845967
7 7 7 [21]	166	166	167	0.6666666666666666
7 7 7 [21]	167	166	170	1.2909944487358056
8 8 8 [24]	1477	1474	1817	107.62383048790305
8 8 8 [24]	1480	1472	1482	3.4480268109295333
8 8 8 [24]	1477	1472	1504	9.23158828275082
9 9 9 [27]	64702	56055	65330	3083.0511222200357
5 5 5 5 [20]	92	92	93	0.3333333333333333
5 5 5 5 [20]	92	92	93	0.3333333333333333
6 6 6 6 [24]	2022	1890	2155	94.40044726824362
6 6 6 6 [24]	1802	1799	1814	5.2493385826745405
6 6 6 6 [24]	1810	1802	1814	5.395471352079548
6 6 6 6 [24]	1802	1802	1808	2.309401076758503
4 4 4 4 4 [20]	102	101	106	1.4907119849998598
4 4 4 4 4 [20]	102	101	102	1.0
4 4 4 4 4 [20]	102	102	103	0.3333333333333333
5 5 5 5 5 [25]	4842	4798	6340	477.8001674340435
5 5 5 5 5 [25]	4688	4511	5095	229.6090880895905
5 5 5 5 5 [25]	4497	4485	4512	9.39858145324779
