# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 13333 MB
# Date: 2015-05-27 07:41:20+0200
# VM Arguments: -Xmx14999M 

ScalaRecursiveNonThreadedVaryingSize
Grid	Median	Min	Max	StdDev
11 11 [22]	113	113	114	0.5773502691896257
12 11 [23]	228	227	228	0.9428090415820634
12 12 [24]	456	455	457	0.5773502691896257
13 12 [25]	1443	922	1446	164.04911188760246
13 13 [26]	3347	2969	4131	353.6317921856637
14 13 [27]	31245	12323	31376	5979.073962115242
10 6 6 [22]	165	164	165	0.816496580927726
11 6 6 [23]	329	328	330	0.6666666666666666
11 7 6 [24]	671	669	672	1.1547005383792515
12 7 6 [25]	1869	1862	1877	4.955356249106169
12 7 7 [26]	5652	4722	5757	423.80144722106206
13 7 7 [27]	34568	15496	34732	6016.883366365385
9 6 4 3 [22]	180	179	180	0.816496580927726
10 6 4 3 [23]	353	352	353	1.0
10 6 4 4 [24]	778	777	1002	70.73817137082983
11 6 4 4 [25]	2003	1990	2017	9.814954576223638
11 7 4 4 [26]	7789	5735	7874	709.2865742733641
12 7 4 4 [27]	35144	17398	35308	5606.337198008855
8 5 4 3 2 [22]	163	162	164	0.4714045207910317
9 5 4 3 2 [23]	309	309	309	0.0
9 6 4 3 2 [24]	637	636	639	0.816496580927726
10 6 4 3 2 [25]	1570	1562	1587	6.855654600401044
10 6 4 3 3 [26]	5863	4592	5941	453.79902551190605
11 6 4 3 3 [27]	14237	14013	14399	104.90207073477838
