# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-27 05:34:22+0200
# VM Arguments: -Xmx14999M 

ScalaRecursiveNonThreadedVaryingSize
Grid	Median	Min	Max	StdDev
11 11 [22]	113	112	113	1.0
11 11 [22]	113	113	114	0.3333333333333333
12 12 [24]	455	455	456	0.6666666666666666
12 12 [24]	456	455	457	0.9428090415820634
13 13 [26]	3358	2963	4085	330.82926110004234
13 13 [26]	3349	3342	3361	5.196152422706632
7 7 7 [21]	93	92	93	0.8819171036881969
7 7 7 [21]	93	92	93	0.8819171036881969
8 8 8 [24]	723	721	981	108.78470072170586
8 8 8 [24]	722	720	724	1.2909944487358056
8 8 8 [24]	722	721	724	0.9428090415820634
9 9 9 [27]	34671	13863	34898	6544.092790024027
5 5 5 5 [20]	72	72	72	0.0
5 5 5 5 [20]	72	72	72	0.0
6 6 6 6 [24]	1352	1343	1355	3.929942040850532
6 6 6 6 [24]	1341	1088	1343	106.68124900322871
6 6 6 6 [24]	1088	1088	1091	1.4142135623730951
6 6 6 6 [24]	1088	1088	1090	0.8819171036881969
4 4 4 4 4 [20]	98	98	98	0.0
4 4 4 4 4 [20]	98	97	98	0.9428090415820634
4 4 4 4 4 [20]	98	97	99	0.4714045207910317
5 5 5 5 5 [25]	4218	3957	4462	239.1961073633469
5 5 5 5 5 [25]	3969	3504	3995	247.5149827114849
5 5 5 5 5 [25]	3513	3505	3521	5.70574758954123
