# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 13333 MB
# Date: 2015-05-26 15:04:17+0200
# VM Arguments: -Xmx14999M 

ScalaHierarchizeUnoptimizedParArrayVaryingSize
Grid	Median	Min	Max	StdDev
11 11 [22]	95	83	100	5.849976258261415
12 11 [23]	176	172	203	11.88836966675134
12 12 [24]	395	369	443	29.437315698880486
13 12 [25]	1454	1341	1637	87.75914007479031
13 13 [26]	3542	3135	4584	399.44322361117713
14 13 [27]	39956	21813	41086	5786.351287488707
10 6 6 [22]	115	109	134	7.211102550927978
11 6 6 [23]	234	219	257	13.374935098492585
11 7 6 [24]	500	442	838	175.76657500471723
12 7 6 [25]	1455	1418	1592	49.98999899979995
12 7 7 [26]	14270	5352	14360	4212.523339862806
13 7 7 [27]	58055	57059	58435	390.97399743034913
9 6 4 3 [22]	161	157	175	5.109903238918631
10 6 4 3 [23]	342	323	349	8.205689083394114
10 6 4 4 [24]	931	894	983	26.512051766864232
11 6 4 4 [25]	2343	2293	2451	50.50742519669756
11 7 4 4 [26]	17137	7596	17349	3814.359593838933
12 7 4 4 [27]	63346	61938	64495	679.8605249117891
8 5 4 3 2 [22]	184	179	193	4.096068575814836
9 5 4 3 2 [23]	377	366	386	6.306962642808167
9 6 4 3 2 [24]	968	749	1026	96.70286678503614
10 6 4 3 2 [25]	2298	1862	2459	204.9691033627589
10 6 4 3 3 [26]	14994	7875	15303	2426.7388267659403
11 6 4 3 3 [27]	59447	58262	59887	566.8942680175123
