# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14060 MB
# Date: 2015-05-26 12:18:44+0200
# VM Arguments: -Xmx14999M 

ScalaHierarchizeUnoptimizedParArrayVaryingSize
Grid	Median	Min	Max	StdDev
11 11 [22]	94	83	100	6.5149400952306875
11 11 [22]	88	82	99	6.209312003399052
12 12 [24]	383	370	437	22.47714888997762
12 12 [24]	392	372	444	31.271215020988375
13 13 [26]	3576	3154	4963	522.9413606387113
13 13 [26]	3576	3538	3726	54.037024344425184
7 7 7 [21]	59	55	64	3.0
7 7 7 [21]	60	55	63	2.581988897471611
8 8 8 [24]	495	441	801	104.23850855929716
8 8 8 [24]	490	439	528	34.679484809706544
8 8 8 [24]	483	450	526	26.272080660317375
9 9 9 [27]	62929	46070	63892	5423.42155224295
5 5 5 5 [20]	38	35	40	1.8257418583505538
5 5 5 5 [20]	37	35	40	1.5986105077709065
6 6 6 6 [24]	883	831	918	34.0147027033899
6 6 6 6 [24]	638	572	947	144.14730120416561
6 6 6 6 [24]	605	574	712	40.16632088371218
6 6 6 6 [24]	607	575	662	25.4841998980632
4 4 4 4 4 [20]	46	44	48	1.247219128924647
4 4 4 4 4 [20]	46	44	48	1.5634719199411433
4 4 4 4 4 [20]	45	43	48	1.5275252316519468
5 5 5 5 5 [25]	2992	2434	3926	466.1507862865358
5 5 5 5 5 [25]	2605	2501	2665	56.476150325208565
5 5 5 5 5 [25]	2645	2595	2695	28.867513459481287
