# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14117 MB
# Date: 2015-05-27 06:03:05+0200
# VM Arguments: -Xmx14999M 

ScalaRecursiveThreadedHierarchizeVaryingSize
Grid	Median	Min	Max	StdDev
11 11 [22]	46	42	115	22.31093404090868
12 11 [23]	70	69	73	1.5986105077709065
12 12 [24]	143	140	425	115.07340652335313
13 12 [25]	812	277	852	227.66276228960533
13 13 [26]	4062	2526	4186	728.1661898220763
14 13 [27]	30336	11149	30537	6066.07456817559
10 6 6 [22]	80	74	146	31.55242550986462
11 6 6 [23]	128	118	256	54.90092085849846
11 7 6 [24]	505	243	506	109.39226054281293
12 7 6 [25]	986	976	1049	20.604745947367455
12 7 7 [26]	3816	2889	3938	409.6360172966565
13 7 7 [27]	31075	12191	31286	5962.320745034324
9 6 4 3 [22]	149	91	155	18.800118202938098
10 6 4 3 [23]	149	146	260	53.687366608293736
10 6 4 4 [24]	556	549	568	5.0771820705759385
11 6 4 4 [25]	1026	1016	1083	19.134030184754884
11 7 4 4 [26]	5247	3773	5285	475.79664190118496
12 7 4 4 [27]	31863	14336	31931	5529.256248960312
8 5 4 3 2 [22]	366	218	398	64.21837743200929
9 5 4 3 2 [23]	462	339	540	59.039534776848186
9 6 4 3 2 [24]	879	655	1111	143.31085094995424
10 6 4 3 2 [25]	1146	828	1178	162.89533108376338
10 6 4 3 3 [26]	4977	3309	5731	639.8951302969712
11 6 4 3 3 [27]	11252	9839	11374	635.94173387889
