# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 13333 MB
# Date: 2015-05-26 17:54:25+0200
# VM Arguments: -Xmx14999M 

ScalaRecursiveThreadedHierarchizeVaryingSize
Grid	Median	Min	Max	StdDev
11 11 [22]	44	40	111	21.548395145191982
11 11 [22]	46	39	117	29.81237625178137
12 12 [24]	144	138	405	83.14712529272701
12 12 [24]	145	140	406	110.7539816189217
13 13 [26]	3983	1884	4170	832.4450599155344
13 13 [26]	4030	3942	4143	69.76548016191262
7 7 7 [21]	596	536	623	26.341770800173798
7 7 7 [21]	598	553	612	20.909859450082926
8 8 8 [24]	2674	2525	2812	87.03128428585002
8 8 8 [24]	2722	2454	3108	186.33899812498245
8 8 8 [24]	2672	2583	2896	90.57532163282055
9 9 9 [27]	40644	20209	41093	6444.725535057503
5 5 5 5 [20]	3155	3073	3889	309.72066267669146
5 5 5 5 [20]	3150	3116	3197	22.45489305746572
6 6 6 6 [24]	48471	45211	49229	1249.2994036659106
6 6 6 6 [24]	47362	45657	48085	829.4691073210623
6 6 6 6 [24]	46889	45781	47521	546.0066137165577
6 6 6 6 [24]	46291	45592	46971	457.04509867432364
4 4 4 4 4 [20]	5634	5608	6266	201.60026455009097
4 4 4 4 4 [20]	5659	5610	5719	31.303176977567134
4 4 4 4 4 [20]	5645	5616	5686	20.42329824272052
5 5 5 5 5 [25]	579386	566801	604552	10445.210369670238
5 5 5 5 5 [25]	571239	568175	575660	2631.2696766221266
5 5 5 5 5 [25]	571450	569140	576391	2057.2235604760554
