# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 13333 MB
# Date: 2015-05-27 06:51:36+0200
# VM Arguments: -Xmx14999M 

ScalaRecursiveThreadedWhileLoopsVaryingSize
Grid	Median	Min	Max	StdDev
11 11 [22]	43	39	108	20.741798914805393
12 11 [23]	69	66	74	2.1343747458109497
12 12 [24]	142	136	422	115.53017883748913
13 12 [25]	801	274	806	221.69949631577123
13 13 [26]	3984	2530	4156	706.7983367898433
14 13 [27]	30227	11357	30434	5953.212475443639
10 6 6 [22]	108	71	140	33.57082066318904
11 6 6 [23]	117	114	258	57.931952419291996
11 7 6 [24]	498	243	505	107.19711853507175
12 7 6 [25]	990	979	1051	21.73067468400883
12 7 7 [26]	3805	2897	4094	427.1183806757924
13 7 7 [27]	31347	11894	31472	6133.163946936361
9 6 4 3 [22]	145	91	150	17.58155599232079
10 6 4 3 [23]	205	147	262	56.76168504271952
10 6 4 4 [24]	561	552	565	4.749268949591669
11 6 4 4 [25]	1036	1018	1085	19.055474570608602
11 7 4 4 [26]	5638	3757	5684	634.0099017803709
12 7 4 4 [27]	31959	14637	32230	5478.664172141884
8 5 4 3 2 [22]	360	269	398	35.21521135973929
9 5 4 3 2 [23]	496	351	555	68.94764519385544
9 6 4 3 2 [24]	810	649	970	106.61665494242028
10 6 4 3 2 [25]	1160	839	1173	159.35216067286666
10 6 4 3 3 [26]	4768	3337	5545	654.8252523468465
11 6 4 3 3 [27]	11294	10279	11496	536.7792842500537
