# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14999 MB
# Date: 2015-05-26 23:44:34+0200
# VM Arguments: -Xmx14999M 

ScalaRecursiveThreadedWhileLoopsVaryingSize
Grid	Median	Min	Max	StdDev
11 11 [22]	43	39	109	21.142374511865974
11 11 [22]	43	38	114	29.33143933279329
12 12 [24]	142	138	416	112.54085677852486
12 12 [24]	141	134	397	81.26841671618536
13 13 [26]	3991	1854	4175	887.0330070271092
13 13 [26]	4102	3959	4148	78.61933604400383
7 7 7 [21]	611	564	645	29.359836511806396
7 7 7 [21]	601	577	634	15.81841402360623
8 8 8 [24]	2637	2575	2757	62.349374050141385
8 8 8 [24]	2703	2514	2788	93.61564446655746
8 8 8 [24]	2651	2498	2754	75.09993342207434
9 9 9 [27]	40736	19943	42042	6581.11181083156
5 5 5 5 [20]	3134	3082	3853	234.05839727156413
5 5 5 5 [20]	3120	3082	3370	93.34404700414007
6 6 6 6 [24]	46114	45246	46807	553.8828596573668
6 6 6 6 [24]	46345	45590	47152	516.0297149066773
6 6 6 6 [24]	46690	45911	46960	328.60006086426705
6 6 6 6 [24]	46542	45891	47223	441.8148179196046
4 4 4 4 4 [20]	5602	5552	6110	165.31149049261182
4 4 4 4 4 [20]	5576	5551	5605	17.061978522759635
4 4 4 4 4 [20]	5582	5560	5660	30.841890704401088
5 5 5 5 5 [25]	577920	562935	583832	6657.3579260511115
5 5 5 5 5 [25]	573512	569967	577831	2320.831795331627
5 5 5 5 5 [25]	578644	571725	588634	5116.392945990151
