# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 14112 MB
# Date: 2015-05-26 13:34:04+0200
# VM Arguments: -Xmx14999M 

Scala hierarchizeUnoptimizedSequential
Grid	Median	Min	Max	StdDev
11 11 [22]	294	292	295	1.1547005383792515
12 11 [23]	606	600	608	2.7284509239574835
12 12 [24]	1275	1270	1284	5.547772325697746
13 12 [25]	3267	2638	3326	202.20012089236963
13 13 [26]	7127	6722	8069	401.88002632073614
14 13 [27]	47996	29256	48246	5924.625651559018
10 6 6 [22]	358	357	359	0.8819171036881969
11 6 6 [23]	723	722	727	1.5275252316519468
11 7 6 [24]	1503	1494	1813	131.29017903526184
12 7 6 [25]	3499	3430	3545	34.62657938636157
12 7 7 [26]	18363	9319	18494	4286.360097902285
13 7 7 [27]	67009	65940	67814	549.6226988681518
9 6 4 3 [22]	431	428	444	4.606758320361751
10 6 4 3 [23]	905	902	909	2.6666666666666665
10 6 4 4 [24]	2082	2004	2123	43.98105652816145
11 6 4 4 [25]	4608	4104	4646	238.6827275787765
11 7 4 4 [26]	21901	10912	22161	4202.100757689869
12 7 4 4 [27]	73044	72346	74437	616.0986573232858
8 5 4 3 2 [22]	403	402	405	1.2018504251546631
9 5 4 3 2 [23]	822	819	826	2.1081851067789197
9 6 4 3 2 [24]	1785	1663	1918	89.31654071024272
10 6 4 3 2 [25]	3406	3387	3412	9.363047936792093
10 6 4 3 3 [26]	18774	10453	18871	2954.0116602493104
11 6 4 3 3 [27]	64303	63642	64893	314.3181332486067
