# OS: Linux 3.14.23-100.fc19.x86_64 amd64
# JVM: Oracle Corporation 1.7.0_71
# CPU: null
# Available processors: 4
# Maximum memory: 13333 MB
# Date: 2015-05-26 11:35:27+0200
# VM Arguments: -Xmx14999M 

Scala hierarchizeUnoptimizedSequential
Grid	Median	Min	Max	StdDev
11 11 [22]	293	292	294	0.8819171036881969
11 11 [22]	291	290	293	0.816496580927726
12 12 [24]	1865	1544	5352	1351.5506320930456
12 12 [24]	1559	1546	1569	8.096638534327413
13 13 [26]	23513	7091	30513	9324.60751035786
13 13 [26]	7139	7099	7168	26.299556396765833
7 7 7 [21]	168	167	169	0.5773502691896257
7 7 7 [21]	169	168	174	1.8257418583505538
8 8 8 [24]	1498	1485	1837	141.0586954269589
8 8 8 [24]	1491	1484	1495	4.14996653266291
8 8 8 [24]	1491	1484	1497	4.14996653266291
9 9 9 [27]	64923	64402	80614	5003.667865787168
5 5 5 5 [20]	96	95	96	1.0
5 5 5 5 [20]	96	95	96	0.8819171036881969
6 6 6 6 [24]	2053	1933	2156	79.60248460667265
6 6 6 6 [24]	1865	1854	2205	144.13496761330643
6 6 6 6 [24]	1859	1852	1865	4.371625682868
6 6 6 6 [24]	1854	1851	1866	4.346134936801766
4 4 4 4 4 [20]	109	109	109	0.0
4 4 4 4 4 [20]	109	109	110	0.4714045207910317
4 4 4 4 4 [20]	109	109	110	0.5773502691896257
5 5 5 5 5 [25]	5107	4998	5584	251.52711362572603
5 5 5 5 5 [25]	5124	4703	5328	253.64826915325963
5 5 5 5 5 [25]	4709	4690	4721	11.42122779934121
