# OS: Linux; 3.2.0-60-generic; amd64
# JVM: Oracle Corporation; 1.7.0_25
# CPU: null
# Available processors: 32
# Maximum memory: 27233 MB
# Date: 2015-03-09 15:04:25+0100
# VM Arguments: 
5 5 5 5 5 -------------------------------------
Now working on a grid of size 25
Level array: 
5 5 5 5 5 -------------------------------------
HierarchizeOptimized
Run	Time in ms
1	812.2
HierarchizeOptimizedThreads
Threads	Time in ms
1	843.8
2	439.4
3	307.0
4	260.0
5	237.4
6	233.4
7	224.4
8	227.8
9	222.8
10	227.0
11	226.2
12	232.8
13	232.6
14	235.2
15	237.6
16	233.4
17	229.0
18	225.4
19	229.6
20	230.8
21	226.8
22	227.6
23	227.2
24	228.4
25	224.2
26	226.2
27	228.4
28	225.6
29	216.8
30	218.0
31	217.0
32	216.8
HierarchizeOptimizedThreadsOnce
Threads	Time in ms
1	837.6
2	434.4
3	300.0
4	254.6
5	221.2
6	213.6
7	225.6
8	228.2
9	232.6
10	235.2
11	235.2
12	238.6
13	234.4
14	228.2
15	229.8
16	232.0
17	229.4
18	229.8
19	229.6
20	228.4
21	308.0
22	226.8
23	219.8
24	221.0
25	221.4
26	216.6
27	213.2
28	218.8
29	217.2
30	222.8
31	217.4
32	218.2
HierarchizeOptimizedTasks
Tasks	Time in ms
1	846.0
2	437.8
3	308.0
4	268.4
5	252.0
6	235.4
7	229.2
8	227.4
9	228.2
10	227.0
11	229.0
12	227.6
13	231.4
14	230.8
15	228.6
16	227.6
17	232.2
18	231.8
19	228.8
20	226.2
21	222.2
22	223.4
23	221.2
24	222.2
25	222.2
26	224.6
27	221.6
28	224.0
29	225.6
30	221.4
31	226.4
32	225.4
HierarchizeUnoptimized
Run	Time in ms
1	2325.0
HierarchizeUnoptimizedThreads
Threads	Time in ms
1	2165.8
2	1185.2
3	800.8
4	605.4
5	490.4
6	411.8
7	360.0
8	320.2
9	296.6
10	272.8
11	260.2
12	249.8
13	243.6
14	236.2
15	233.4
16	230.2
17	231.8
18	229.4
19	229.2
20	228.0
21	225.8
22	225.0
23	224.4
24	223.6
25	220.4
26	222.8
27	222.8
28	223.0
29	222.0
30	223.2
31	223.4
32	234.8
HierarchizeUnoptimizedThreadsOnce
Threads	Time in ms
1	2277.6
2	1180.6
3	796.6
4	601.2
5	483.0
6	406.2
7	354.8
8	317.4
9	292.6
10	274.2
11	259.4
12	249.6
13	242.8
14	235.4
15	234.0
16	227.8
17	226.4
18	223.0
19	225.6
20	223.8
21	222.6
22	222.0
23	215.4
24	218.2
25	217.4
26	217.6
27	219.4
28	216.4
29	216.8
30	212.6
31	221.0
32	222.2
HierarchizeUnoptimizedTasks
Tasks	Time in ms
1	2272.6
2	1185.8
3	795.2
4	602.8
5	487.8
6	411.0
7	359.2
8	323.4
9	298.4
10	282.4
11	269.4
12	259.2
13	251.2
14	246.4
15	243.2
16	238.8
17	240.0
18	237.0
19	235.2
20	233.0
21	231.6
22	231.8
23	221.2
24	228.2
25	231.0
26	224.2
27	229.0
28	226.8
29	231.8
30	236.4
31	230.0
32	236.2
6 5 5 5 5 -------------------------------------
Now working on a grid of size 26
Level array: 
6 5 5 5 5 -------------------------------------
HierarchizeOptimized
Run	Time in ms
1	1559.0
HierarchizeOptimizedThreads
Threads	Time in ms
1	1637.0
2	842.6
3	584.6
4	510.0
5	479.6
6	457.2
7	449.8
8	433.4
9	442.2
10	440.2
11	454.0
12	442.0
13	442.8
14	446.6
15	452.2
16	454.8
17	452.8
18	458.8
19	459.6
20	454.2
21	451.0
22	450.2
23	445.2
24	442.4
25	436.4
26	440.4
27	440.8
28	439.8
29	433.4
30	439.8
31	436.8
32	439.8
HierarchizeOptimizedThreadsOnce
Threads	Time in ms
1	1620.4
2	837.0
3	584.4
4	494.8
5	494.2
6	461.0
7	431.6
8	432.8
9	438.4
10	430.8
11	425.2
12	437.8
13	438.6
14	437.0
15	428.6
16	445.2
17	450.0
18	451.6
19	451.8
20	445.6
21	422.0
22	425.4
23	428.0
24	424.8
25	434.6
26	418.8
27	423.4
28	429.6
29	439.2
30	435.0
31	437.2
32	438.0
HierarchizeOptimizedTasks
Tasks	Time in ms
1	1647.4
2	847.8
3	589.8
4	521.0
5	487.2
6	467.2
7	459.6
8	442.6
9	449.2
10	461.8
11	453.4
12	450.8
13	454.4
14	453.6
15	449.4
16	459.6
17	470.2
18	465.6
19	453.8
20	449.8
21	455.6
22	453.8
23	459.0
24	455.8
25	460.6
26	460.6
27	452.4
28	455.6
29	455.2
30	447.2
31	446.8
32	451.2
HierarchizeUnoptimized
Run	Time in ms
1	4419.2
HierarchizeUnoptimizedThreads
Threads	Time in ms
1	4909.6
2	2538.4
3	1701.6
4	1288.4
5	1039.8
6	881.0
7	770.0
8	689.4
9	631.6
10	588.8
11	560.2
12	534.8
13	515.8
14	502.4
15	495.0
16	487.0
17	492.0
18	484.0
19	484.4
20	479.0
21	477.8
22	473.6
23	463.8
24	467.8
25	474.2
26	471.2
27	470.6
28	468.6
29	471.6
30	468.2
31	465.4
32	475.4
HierarchizeUnoptimizedThreadsOnce
Threads	Time in ms
1	4388.8
2	2523.8
3	1693.0
4	1282.0
5	1042.4
6	878.4
7	767.8
8	688.6
9	628.6
10	588.4
11	555.2
12	529.6
13	511.4
14	504.8
15	494.0
16	488.0
17	489.8
18	485.8
19	486.2
20	479.8
21	476.6
22	459.4
23	462.2
24	472.8
25	466.2
26	465.0
27	468.6
28	465.2
29	467.4
30	453.8
31	459.6
32	461.2
HierarchizeUnoptimizedTasks
Tasks	Time in ms
1	4480.8
2	2462.0
3	1719.2
4	1290.6
5	1063.0
6	906.6
7	785.6
8	714.4
9	652.8
10	611.8
11	580.8
12	553.4
13	535.2
14	526.8
15	519.2
16	518.4
17	513.6
18	505.8
19	500.6
20	497.2
21	496.0
22	494.4
23	492.4
24	491.6
25	493.6
26	488.2
27	483.4
28	476.6
